Conversation_Id,Clarity_and_Simplicity,Relevance_and_Accuracy,Tone_and_Supportiveness,Adaptability,Consistency_and_Flow
0,8.5,8.5,8.5,8.5,8.5,8.5,8.8,8.5,8.2,8.5,8.5,8.2,8.2,8.5,8.5,8.5,8.2,8.0,8.5,8.5,8.2,8.2,9.5,8.5,9.0
1,8.6,8.5,8.5,8.6,8.5,8.5,8.4,8.5,8.5,8.3,8.5,8.0,8.5,8.5,8.5,8.5,8.5,8.5,8.4,8.6,8.4,8.5,8.3,8.5,8.5
2,8.5,8.5,8.0,9.6,8.0,8.5,8.9,8.5,9.0,8.0,7.3,9.5,7.8,8.2,9.5,8.6,8.5,8.3,8.5,8.7,8.5,8.6,8.5,8.5,9.5
3,8.5,8.5,8.5,8.5,8.5,8.6,8.5,8.5,8.5,8.7,8.5,8.2,8.3,8.5,8.5,8.0,8.5,8.0,8.5,8.6,8.5,8.6,8.5,8.9,8.5
4,8.5,8.5,8.5,9.0,8.5,8.5,8.0,8.5,8.5,8.0,9.2,8.5,8.5,8.5,8.0,8.3,8.3,8.6,8.5,8.5,8.5,8.2,8.5,8.5,8.5
5,8.0,8.5,8.5,8.5,8.5,8.5,8.5,8.7,8.4,8.0,8.5,8.5,8.5,8.5,8.2,8.2,8.5,8.5,8.0,8.0,8.5,8.0,8.7,8.5,8.7
6,8.9,8.3,8.5,8.5,8.5,8.2,8.5,8.5,8.5,8.5,8.5,8.2,8.5,8.5,8.5,8.0,8.5,8.5,8.5,8.5,9.0,8.5,8.6,8.5,8.5
7,8.6,9.3,8.5,8.5,8.5,8.5,8.0,8.2,8.4,8.6,8.5,8.5,9.0,8.6,8.5,8.5,8.5,8.5,8.5,8.7,8.5,9.5,8.5,8.5,8.5
8,8.0,9.0,8.5,8.5,8.5,8.5,8.5,8.2,8.5,8.7,8.5,8.5,8.5,9.0,8.5,9.5,8.5,8.3,8.5,8.2,8.5,8.5,8.5,9.4,9.5
9,8.3,8.5,8.4,8.5,8.5,8.5,8.5,8.5,8.9,8.5,8.5,8.9,8.5,8.9,8.5,8.3,8.5,9.5,8.5,8.5,9.0,9.2,8.5,8.5,8.5
10,8.0,8.5,8.5,8.6,8.5,8.2,8.5,8.5,8.5,8.5,8.0,8.5,8.5,8.6,8.5,8.5,8.5,8.2,8.5,8.5,9.2,8.5,8.5,8.5,8.5
11,8.5,8.5,8.7,8.5,8.0,8.3,8.6,8.6,8.5,8.5,8.5,8.5,8.0,8.5,8.9,8.6,8.5,8.3,8.0,8.5,8.5,8.5,8.5,8.9,8.5
12,8.5,8.7,8.5,8.2,8.6,8.5,8.5,8.5,8.5,8.5,8.2,8.5,9.6,8.7,8.5,8.7,8.5,8.0,8.5,8.2,8.2,8.6,8.5,8.5,8.5
13,9.0,8.5,8.6,8.5,8.7,8.5,8.5,8.5,8.9,8.5,8.3,8.5,8.5,8.6,8.5,8.5,9.5,8.5,8.5,8.9,8.5,8.6,8.5,8.2,8.5
14,8.5,8.5,8.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.4,8.6,8.7,9.5,8.5,8.3,8.5,8.5,8.3,8.6,8.5,8.0,9.5,8.5,8.5
